properties,num_properties,coverage,score
"has_place_of_death, has_gender, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_occupation, has_date_of_birth",8,3090,24720
"has_place_of_birth, has_place_of_death, has_father, has_mother, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",10,2472,24720
"has_place_of_death, has_gender, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_date_of_death, has_date_of_birth",8,3090,24720
"has_place_of_death, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_occupation, has_date_of_death, has_date_of_birth",8,3090,24720
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_mother, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",10,2472,24720
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth, has_cause_of_death",7,3531,24717
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth, has_cause_of_death",9,2746,24714
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth, has_cause_of_death",9,2746,24714
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_death, has_date_of_birth, has_cause_of_death",9,2746,24714
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_cause_of_death",9,2746,24714
"has_place_of_birth, has_father, has_educated_at, has_date_of_death",4,6178,24712
"has_place_of_birth, has_place_of_death, has_child, has_educated_at, has_date_of_birth",5,4942,24710
"has_place_of_birth, has_place_of_death, has_gender, has_child, has_educated_at",5,4942,24710
"has_place_of_birth, has_place_of_death, has_child, has_educated_at, has_occupation",5,4942,24710
"has_place_of_birth, has_gender, has_mother, has_position_held, has_child, has_occupation, has_date_of_birth",7,3529,24703
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_religion",6,4117,24702
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_religion",6,4117,24702
"has_place_of_birth, has_position_held, has_educated_at, has_occupation, has_date_of_birth, has_religion",6,4116,24696
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_date_of_birth, has_religion",6,4116,24696
"has_place_of_birth, has_place_of_death, has_child, has_educated_at, has_date_of_death",5,4939,24695
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_employer",5,4939,24695
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_employer, has_date_of_birth",5,4939,24695
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_employer",5,4939,24695
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_employer, has_date_of_death",5,4938,24690
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_birth, has_religion",5,4938,24690
"has_place_of_birth, has_place_of_death, has_gender, has_mother, has_spouse, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",9,2743,24687
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_spouse, has_child, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",10,2468,24680
"has_place_of_death, has_position_held, has_child, has_occupation, has_date_of_death",5,4936,24680
"has_gender, has_father, has_mother, has_spouse, has_child, has_occupation, has_award_received, has_date_of_birth",8,3085,24680
"has_place_of_death, has_gender, has_position_held, has_child, has_occupation",5,4936,24680
"has_place_of_death, has_gender, has_position_held, has_child, has_date_of_death",5,4936,24680
"has_place_of_birth, has_place_of_death, has_gender, has_spouse, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",8,3084,24672
"has_place_of_birth, has_place_of_death, has_spouse, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",8,3084,24672
"has_place_of_birth, has_place_of_death, has_gender, has_spouse, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",8,3084,24672
"has_place_of_birth, has_gender, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_educated_at, has_occupation, has_date_of_birth",10,2467,24670
"has_place_of_birth, has_gender, has_country_of_citizenship, has_field_of_work, has_award_received",5,4933,24665
"has_place_of_death, has_position_held, has_child, has_date_of_death, has_date_of_birth",5,4933,24665
"has_place_of_birth, has_country_of_citizenship, has_field_of_work, has_occupation, has_award_received",5,4933,24665
"has_place_of_death, has_gender, has_position_held, has_child, has_date_of_birth",5,4933,24665
"has_place_of_death, has_position_held, has_child, has_occupation, has_date_of_birth",5,4933,24665
"has_place_of_birth, has_place_of_death, has_spouse, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death, has_date_of_birth",8,3083,24664
"has_place_of_birth, has_place_of_death, has_spouse, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death",8,3083,24664
"has_place_of_birth, has_place_of_death, has_gender, has_spouse, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death",8,3083,24664
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth, has_cause_of_death",7,3522,24654
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_cause_of_death",7,3521,24647
"has_gender, has_father, has_mother, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",7,3521,24647
"has_place_of_birth, has_gender, has_father, has_child",4,6161,24644
"has_place_of_birth, has_father, has_child, has_occupation",4,6161,24644
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth, has_cause_of_death",7,3520,24640
"has_place_of_birth, has_gender, has_father, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",7,3520,24640
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth, has_cause_of_death",7,3520,24640
"has_gender, has_father, has_mother, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",7,3519,24633
"has_father, has_mother, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,3519,24633
"has_place_of_birth, has_father, has_child, has_date_of_birth",4,6158,24632
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth, has_religion",6,4104,24624
"has_place_of_birth, has_place_of_death, has_father, has_mother, has_country_of_citizenship, has_educated_at, has_date_of_birth",7,3517,24619
"has_place_of_birth, has_place_of_death, has_father, has_mother, has_country_of_citizenship, has_educated_at, has_occupation",7,3517,24619
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_mother, has_country_of_citizenship, has_educated_at",7,3517,24619
"has_place_of_birth, has_place_of_death, has_father, has_mother, has_country_of_citizenship, has_educated_at, has_date_of_death",7,3516,24612
"has_place_of_birth, has_place_of_death, has_gender, has_mother, has_country_of_citizenship, has_child, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",10,2461,24610
"has_place_of_death, has_gender, has_spouse, has_country_of_citizenship, has_occupation, has_award_received",6,4101,24606
"has_place_of_birth, has_gender, has_spouse, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,3515,24605
"has_gender, has_country_of_citizenship, has_position_held, has_child, has_occupation, has_award_received, has_date_of_birth",7,3515,24605
"has_place_of_death, has_spouse, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,4100,24600
"has_place_of_death, has_spouse, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,4100,24600
"has_place_of_birth, has_father, has_country_of_citizenship, has_position_held, has_child, has_occupation",6,4100,24600
"has_place_of_birth, has_gender, has_father, has_country_of_citizenship, has_position_held, has_child",6,4100,24600
"has_place_of_death, has_gender, has_spouse, has_country_of_citizenship, has_award_received, has_date_of_death",6,4100,24600
"has_place_of_death, has_gender, has_spouse, has_country_of_citizenship, has_award_received, has_date_of_birth",6,4100,24600
"has_place_of_death, has_spouse, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,4099,24594
"has_place_of_birth, has_gender, has_father, has_spouse, has_position_held, has_child, has_occupation, has_date_of_death",8,3074,24592
"has_place_of_birth, has_gender, has_father, has_country_of_citizenship, has_child, has_educated_at, has_date_of_death",7,3513,24591
"has_place_of_birth, has_gender, has_spouse, has_country_of_citizenship, has_child, has_occupation, has_award_received",7,3513,24591
"has_place_of_birth, has_father, has_country_of_citizenship, has_child, has_educated_at, has_occupation, has_date_of_death",7,3513,24591
"has_place_of_birth, has_father, has_country_of_citizenship, has_child, has_educated_at, has_date_of_death, has_date_of_birth",7,3513,24591
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_employer",6,4098,24588
"has_place_of_birth, has_father, has_country_of_citizenship, has_position_held, has_child, has_date_of_birth",6,4098,24588
"has_place_of_birth, has_place_of_death, has_father, has_country_of_citizenship, has_child, has_date_of_death",6,4098,24588
"has_place_of_birth, has_place_of_death, has_father, has_country_of_citizenship, has_child, has_occupation",6,4098,24588
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_country_of_citizenship, has_child",6,4098,24588
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_employer",6,4098,24588
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_employer, has_date_of_birth",6,4098,24588
"has_place_of_birth, has_gender, has_spouse, has_country_of_citizenship, has_child, has_award_received, has_date_of_birth",7,3512,24584
"has_place_of_birth, has_father, has_spouse, has_position_held, has_child, has_occupation, has_date_of_death, has_date_of_birth",8,3073,24584
"has_place_of_birth, has_gender, has_spouse, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",7,3512,24584
"has_place_of_birth, has_gender, has_father, has_spouse, has_position_held, has_child, has_date_of_death, has_date_of_birth",8,3073,24584
"has_place_of_birth, has_spouse, has_country_of_citizenship, has_child, has_occupation, has_award_received, has_date_of_birth",7,3512,24584
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_employer, has_date_of_death",6,4097,24582
"has_place_of_birth, has_place_of_death, has_father, has_country_of_citizenship, has_child, has_date_of_birth",6,4097,24582
"has_place_of_birth, has_gender, has_father, has_mother, has_occupation, has_award_received, has_date_of_birth",7,3511,24577
"has_place_of_birth, has_spouse, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,3510,24570
"has_place_of_birth, has_gender, has_spouse, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",7,3510,24570
"has_place_of_birth, has_gender, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_date_of_death",7,3509,24563
"has_place_of_birth, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_occupation, has_date_of_death",7,3509,24563
"has_place_of_birth, has_gender, has_father, has_mother, has_child, has_date_of_death",6,4093,24558
"has_place_of_birth, has_father, has_mother, has_child, has_occupation, has_date_of_death",6,4093,24558
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_field_of_work, has_award_received",6,4093,24558
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_award_received, has_date_of_death",6,4093,24558
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_field_of_work, has_occupation, has_award_received",6,4093,24558
"has_place_of_birth, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_date_of_death, has_date_of_birth",7,3508,24556
"has_place_of_birth, has_gender, has_mother, has_country_of_citizenship, has_position_held, has_child, has_educated_at, has_occupation, has_date_of_birth",9,2728,24552
"has_place_of_birth, has_gender, has_father, has_country_of_citizenship, has_position_held, has_child, has_educated_at, has_occupation, has_date_of_death",9,2728,24552
"has_place_of_birth, has_gender, has_father, has_country_of_citizenship, has_position_held, has_child, has_educated_at, has_date_of_death, has_date_of_birth",9,2728,24552
"has_place_of_birth, has_father, has_country_of_citizenship, has_position_held, has_child, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",9,2728,24552
"has_gender, has_spouse, has_country_of_citizenship, has_position_held, has_occupation, has_award_received",6,4092,24552
"has_position_held, has_child, has_educated_at, has_date_of_death",4,6137,24548
"has_place_of_birth, has_father, has_mother, has_child, has_date_of_death, has_date_of_birth",6,4091,24546
"has_gender, has_educated_at, has_field_of_work, has_occupation, has_date_of_death, has_date_of_birth",6,4091,24546
"has_gender, has_educated_at, has_native_language, has_occupation, has_award_received",5,4909,24545
"has_place_of_birth, has_place_of_death, has_father, has_position_held, has_educated_at, has_occupation, has_date_of_death",7,3506,24542
"has_place_of_birth, has_place_of_death, has_father, has_position_held, has_educated_at, has_occupation, has_date_of_birth",7,3506,24542
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_position_held, has_educated_at, has_occupation",7,3506,24542
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_position_held, has_educated_at, has_date_of_death",7,3506,24542
"has_place_of_birth, has_place_of_death, has_father, has_position_held, has_educated_at, has_date_of_death, has_date_of_birth",7,3506,24542
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_position_held, has_educated_at, has_date_of_birth",7,3506,24542
"has_place_of_birth, has_gender, has_father, has_mother, has_child",5,4908,24540
"has_place_of_birth, has_father, has_mother, has_child, has_occupation",5,4908,24540
"has_gender, has_spouse, has_country_of_citizenship, has_position_held, has_award_received, has_date_of_birth",6,4089,24534
"has_place_of_death, has_gender, has_father, has_mother, has_spouse, has_occupation",6,4089,24534
"has_spouse, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_birth",6,4089,24534
"has_place_of_death, has_father, has_mother, has_spouse, has_occupation, has_date_of_death",6,4088,24528
"has_place_of_death, has_gender, has_father, has_mother, has_spouse, has_date_of_death",6,4088,24528
"has_place_of_birth, has_father, has_mother, has_child, has_date_of_birth",5,4905,24525
"has_place_of_birth, has_gender, has_father, has_mother, has_position_held, has_child, has_educated_at, has_occupation, has_date_of_birth",9,2725,24525
"has_place_of_death, has_gender, has_father, has_mother, has_spouse, has_date_of_birth",6,4087,24522
"has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth, has_religion",6,4087,24522
"has_place_of_death, has_father, has_mother, has_spouse, has_occupation, has_date_of_birth",6,4087,24522
"has_place_of_birth, has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_child",8,3065,24520
"has_place_of_birth, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_occupation",8,3065,24520
"has_place_of_death, has_father, has_mother, has_spouse, has_date_of_death, has_date_of_birth",6,4086,24516
"has_place_of_death, has_father, has_spouse, has_country_of_citizenship, has_occupation",5,4903,24515
"has_place_of_birth, has_country_of_citizenship, has_field_of_work, has_award_received, has_date_of_birth",5,4903,24515
"has_place_of_death, has_gender, has_father, has_spouse, has_country_of_citizenship",5,4903,24515
"has_place_of_birth, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_date_of_birth",8,3064,24512
"has_place_of_death, has_father, has_spouse, has_country_of_citizenship, has_date_of_death",5,4902,24510
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_child, has_educated_at",5,4900,24500
"has_place_of_death, has_father, has_spouse, has_country_of_citizenship, has_date_of_birth",5,4900,24500
"has_place_of_birth, has_gender, has_mother, has_country_of_citizenship, has_position_held, has_child, has_occupation, has_date_of_death",8,3062,24496
"has_country_of_citizenship, has_educated_at, has_native_language, has_occupation, has_award_received",5,4899,24495
"has_gender, has_country_of_citizenship, has_educated_at, has_native_language, has_award_received",5,4899,24495
"has_place_of_birth, has_gender, has_father, has_mother, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death",8,3061,24488
"has_place_of_birth, has_father, has_mother, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death",8,3061,24488
"has_place_of_birth, has_father, has_mother, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death, has_date_of_birth",8,3061,24488
"has_mother, has_position_held, has_child, has_educated_at, has_date_of_birth",5,4896,24480
"has_place_of_birth, has_mother, has_country_of_citizenship, has_position_held, has_child, has_occupation, has_date_of_death, has_date_of_birth",8,3060,24480
"has_mother, has_position_held, has_child, has_educated_at, has_occupation",5,4896,24480
"has_place_of_birth, has_gender, has_mother, has_country_of_citizenship, has_position_held, has_child, has_date_of_death, has_date_of_birth",8,3060,24480
"has_gender, has_mother, has_position_held, has_child, has_educated_at",5,4896,24480
"has_place_of_birth, has_gender, has_father, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",9,2720,24480
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_spouse, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",11,2225,24475
"has_gender, has_father, has_position_held, has_occupation, has_award_received, has_date_of_birth",6,4079,24474
"has_spouse, has_child, has_educated_at, has_date_of_death",4,6118,24472
"has_place_of_birth, has_gender, has_father, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,3496,24472
"has_place_of_birth, has_gender, has_father, has_mother, has_position_held, has_child, has_occupation, has_date_of_death",8,3059,24472
"has_place_of_birth, has_gender, has_mother, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth",8,3058,24464
"has_place_of_birth, has_father, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_educated_at, has_occupation, has_date_of_birth",9,2718,24462
"has_place_of_birth, has_gender, has_father, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_educated_at, has_occupation",9,2718,24462
"has_place_of_birth, has_gender, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_occupation, has_date_of_death",9,2718,24462
"has_place_of_birth, has_gender, has_father, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_educated_at, has_date_of_birth",9,2718,24462
"has_place_of_birth, has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_educated_at, has_occupation",10,2446,24460
"has_gender, has_occupation, has_date_of_death, has_date_of_birth, has_religion",5,4892,24460
"has_place_of_birth, has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_educated_at, has_date_of_birth",10,2446,24460
"has_place_of_birth, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_educated_at, has_occupation, has_date_of_birth",10,2446,24460
"has_place_of_birth, has_gender, has_father, has_spouse, has_position_held, has_child, has_occupation",7,3494,24458
"has_place_of_birth, has_gender, has_father, has_mother, has_position_held, has_child, has_date_of_death, has_date_of_birth",8,3057,24456
"has_place_of_birth, has_father, has_mother, has_position_held, has_child, has_occupation, has_date_of_death, has_date_of_birth",8,3057,24456
"has_place_of_birth, has_gender, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_date_of_death, has_date_of_birth",9,2717,24453
"has_place_of_birth, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_occupation, has_date_of_death, has_date_of_birth",9,2717,24453
"has_place_of_birth, has_gender, has_father, has_spouse, has_position_held, has_child, has_date_of_birth",7,3493,24451
"has_place_of_birth, has_father, has_spouse, has_position_held, has_child, has_occupation, has_date_of_birth",7,3493,24451
"has_place_of_death, has_gender, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_occupation",7,3492,24444
"has_place_of_death, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_occupation, has_date_of_birth",7,3491,24437
"has_place_of_death, has_gender, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_date_of_birth",7,3491,24437
"has_father, has_spouse, has_child, has_educated_at",4,6109,24436
"has_place_of_death, has_gender, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_date_of_death",7,3490,24430
"has_place_of_birth, has_place_of_death, has_father, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",10,2443,24430
"has_place_of_birth, has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death, has_date_of_birth",10,2443,24430
"has_place_of_death, has_gender, has_father, has_spouse, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",10,2443,24430
"has_place_of_birth, has_gender, has_father, has_mother, has_country_of_citizenship, has_occupation, has_award_received",7,3490,24430
"has_place_of_death, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_occupation, has_date_of_death",7,3490,24430
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_occupation, has_date_of_birth",10,2443,24430
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_date_of_death, has_date_of_birth",10,2443,24430
"has_place_of_birth, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",10,2443,24430
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_occupation, has_date_of_death",10,2443,24430
"has_place_of_birth, has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death",10,2443,24430
"has_place_of_birth, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_occupation",6,4071,24426
"has_place_of_birth, has_gender, has_spouse, has_position_held, has_child, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",9,2714,24426
"has_place_of_birth, has_gender, has_spouse, has_country_of_citizenship, has_position_held, has_child",6,4071,24426
"has_place_of_death, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_date_of_death, has_date_of_birth",7,3489,24423
"has_gender, has_spouse, has_child, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,3489,24423
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",10,2442,24420
"has_country_of_citizenship, has_field_of_work, has_occupation, has_date_of_death",4,6105,24420
"has_place_of_birth, has_spouse, has_country_of_citizenship, has_position_held, has_child, has_date_of_birth",6,4070,24420
"has_place_of_birth, has_place_of_death, has_gender, has_mother, has_spouse, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",9,2713,24417
"has_gender, has_country_of_citizenship, has_field_of_work, has_date_of_death",4,6104,24416
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",10,2441,24410
"has_place_of_birth, has_place_of_death, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",10,2441,24410
"has_place_of_birth, has_place_of_death, has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",10,2441,24410
"has_place_of_birth, has_father, has_mother, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",7,3487,24409
"has_place_of_birth, has_gender, has_father, has_mother, has_country_of_citizenship, has_award_received, has_date_of_birth",7,3487,24409
"has_place_of_birth, has_place_of_death, has_gender, has_mother, has_spouse, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",9,2712,24408
"has_place_of_birth, has_place_of_death, has_gender, has_mother, has_spouse, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",9,2712,24408
"has_place_of_birth, has_place_of_death, has_mother, has_spouse, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",9,2712,24408
"has_country_of_citizenship, has_field_of_work, has_date_of_death, has_date_of_birth",4,6101,24404
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_field_of_work, has_award_received, has_date_of_birth",6,4067,24402
"has_educated_at, has_native_language, has_occupation, has_award_received, has_date_of_birth",5,4880,24400
"has_place_of_death, has_gender, has_mother, has_educated_at, has_occupation, has_date_of_birth",6,4066,24396
"has_gender, has_father, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,3485,24395
"has_gender, has_educated_at, has_native_language, has_award_received, has_date_of_birth",5,4879,24395
"has_gender, has_father, has_occupation, has_award_received",4,6098,24392
"has_place_of_death, has_mother, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,4065,24390
"has_place_of_birth, has_father, has_mother, has_position_held, has_occupation",5,4878,24390
"has_place_of_birth, has_gender, has_father, has_mother, has_position_held",5,4878,24390
"has_place_of_death, has_father, has_mother, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",9,2710,24390
"has_place_of_death, has_gender, has_mother, has_educated_at, has_date_of_death, has_date_of_birth",6,4065,24390
"has_place_of_birth, has_place_of_death, has_gender, has_spouse, has_position_held, has_occupation",6,4065,24390
"has_place_of_death, has_gender, has_father, has_mother, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death",9,2710,24390
"has_place_of_death, has_gender, has_mother, has_educated_at, has_occupation, has_date_of_death",6,4065,24390
"has_place_of_death, has_gender, has_father, has_mother, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death, has_date_of_birth",9,2710,24390
"has_place_of_death, has_gender, has_father, has_mother, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",9,2710,24390
"has_place_of_birth, has_place_of_death, has_gender, has_spouse, has_position_held, has_date_of_birth",6,4064,24384
"has_place_of_birth, has_place_of_death, has_gender, has_spouse, has_position_held, has_date_of_death",6,4064,24384
"has_place_of_birth, has_place_of_death, has_spouse, has_position_held, has_occupation, has_date_of_death",6,4064,24384
"has_place_of_birth, has_place_of_death, has_spouse, has_position_held, has_occupation, has_date_of_birth",6,4064,24384
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_educated_at, has_award_received, has_date_of_birth",7,3483,24381
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_educated_at, has_occupation, has_award_received",7,3483,24381
"has_gender, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_occupation, has_award_received",7,3483,24381
"has_place_of_birth, has_place_of_death, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_birth",7,3483,24381
"has_place_of_birth, has_place_of_death, has_spouse, has_position_held, has_date_of_death, has_date_of_birth",6,4063,24378
"has_place_of_birth, has_father, has_mother, has_position_held, has_date_of_birth",5,4874,24370
"has_gender, has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_award_received, has_date_of_birth",7,3481,24367
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_educated_at, has_award_received, has_date_of_death",7,3481,24367
"has_place_of_birth, has_place_of_death, has_position_held, has_educated_at, has_award_received, has_date_of_death, has_date_of_birth",7,3481,24367
"has_spouse, has_country_of_citizenship, has_child, has_educated_at, has_occupation, has_award_received, has_date_of_birth",7,3481,24367
"has_place_of_birth, has_place_of_death, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_death",7,3481,24367
"has_place_of_death, has_gender, has_mother, has_country_of_citizenship, has_position_held, has_child, has_occupation, has_date_of_death, has_date_of_birth",9,2707,24363
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",8,3045,24360
"has_gender, has_mother, has_spouse, has_country_of_citizenship, has_child, has_occupation, has_award_received, has_date_of_birth",8,3044,24352
"has_father, has_occupation, has_award_received, has_date_of_birth",4,6087,24348
"has_gender, has_father, has_award_received, has_date_of_birth",4,6087,24348
"has_country_of_citizenship, has_educated_at, has_native_language, has_award_received, has_date_of_birth",5,4869,24345
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",8,3043,24344
"has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,3043,24344
"has_gender, has_father, has_spouse, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received",7,3476,24332
