properties,num_properties,coverage,score
"has_place_of_death, has_field_of_work, has_occupation, has_date_of_death, has_date_of_birth",5,2532,12660
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_field_of_work",5,2523,12615
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_field_of_work, has_occupation",5,2523,12615
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_field_of_work, has_date_of_birth",5,2522,12610
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",8,1576,12608
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_death, has_date_of_birth",8,1576,12608
"has_gender, has_country_of_citizenship, has_occupation, has_employer, has_date_of_death, has_date_of_birth",6,2097,12582
"has_place_of_birth, has_gender, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth",6,2096,12576
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_award_received",7,1790,12530
"has_place_of_birth, has_gender, has_occupation, has_employer, has_award_received, has_date_of_birth",6,2088,12528
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_award_received, has_date_of_birth",7,1789,12523
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_employer, has_award_received, has_date_of_birth",7,1789,12523
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",10,1246,12460
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,1780,12460
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,1771,12397
"has_place_of_birth, has_gender, has_occupation, has_employer, has_date_of_death, has_date_of_birth",6,2064,12384
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,1769,12383
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_employer, has_award_received",6,2063,12378
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_employer, has_award_received, has_date_of_birth",6,2062,12372
"has_place_of_birth, has_gender, has_country_of_citizenship, has_employer, has_award_received, has_date_of_birth",6,2062,12372
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_field_of_work, has_occupation, has_date_of_death, has_date_of_birth",8,1546,12368
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,2472,12360
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_birth",8,1545,12360
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_death, has_date_of_birth",8,1545,12360
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_employer, has_date_of_death, has_date_of_birth",8,1545,12360
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_death",8,1545,12360
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,2471,12355
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,2471,12355
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_field_of_work, has_occupation, has_date_of_death, has_date_of_birth",8,1544,12352
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,1760,12320
"has_gender, has_educated_at, has_occupation, has_employer",4,3053,12212
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death",7,1744,12208
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_award_received, has_date_of_death, has_date_of_birth",7,1744,12208
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,1744,12208
"has_gender, has_educated_at, has_employer, has_date_of_birth",4,3046,12184
"has_educated_at, has_occupation, has_employer, has_date_of_birth",4,3046,12184
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,1738,12166
"has_place_of_birth, has_gender, has_position_held, has_date_of_death, has_date_of_birth",5,2424,12120
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_death",5,2424,12120
"has_place_of_birth, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,2424,12120
"has_place_of_birth, has_place_of_death, has_field_of_work, has_occupation, has_date_of_death",5,2419,12095
"has_place_of_birth, has_place_of_death, has_gender, has_field_of_work, has_occupation",5,2419,12095
"has_place_of_birth, has_place_of_death, has_gender, has_field_of_work, has_date_of_death",5,2419,12095
"has_place_of_birth, has_place_of_death, has_field_of_work, has_occupation, has_date_of_birth",5,2418,12090
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_death, has_date_of_birth",7,1727,12089
"has_place_of_birth, has_gender, has_occupation, has_date_of_birth, has_academic_degree",5,2417,12085
"has_place_of_birth, has_place_of_death, has_gender, has_field_of_work, has_date_of_birth",5,2417,12085
"has_place_of_birth, has_place_of_death, has_field_of_work, has_date_of_death, has_date_of_birth",5,2417,12085
"has_place_of_birth, has_gender, has_country_of_citizenship, has_field_of_work, has_occupation, has_award_received, has_date_of_birth",7,1723,12061
"has_place_of_birth, has_gender, has_country_of_citizenship, has_employer, has_date_of_death, has_date_of_birth",6,2009,12054
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_employer, has_date_of_death",6,2009,12054
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_employer, has_date_of_death, has_date_of_birth",6,2009,12054
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death, has_date_of_birth",7,1719,12033
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,1719,12033
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death",7,1719,12033
"has_place_of_birth, has_country_of_citizenship, has_field_of_work, has_occupation, has_date_of_death",5,2405,12025
"has_place_of_birth, has_gender, has_country_of_citizenship, has_field_of_work, has_date_of_death",5,2405,12025
"has_place_of_birth, has_country_of_citizenship, has_field_of_work, has_date_of_death, has_date_of_birth",5,2404,12020
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",5,2403,12015
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_award_received, has_date_of_birth",7,1716,12012
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_employer, has_date_of_death, has_date_of_birth",7,1711,11977
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",9,1324,11916
"has_country_of_citizenship, has_educated_at, has_occupation, has_employer",4,2978,11912
"has_gender, has_country_of_citizenship, has_educated_at, has_employer",4,2978,11912
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth, has_academic_degree",8,1487,11896
"has_country_of_citizenship, has_educated_at, has_employer, has_date_of_birth",4,2972,11888
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",5,2363,11815
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,2363,11815
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,2363,11815
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_academic_degree",5,2357,11785
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_birth, has_academic_degree",5,2357,11785
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",5,2357,11785
"has_place_of_birth, has_gender, has_educated_at, has_employer",4,2936,11744
"has_place_of_birth, has_educated_at, has_occupation, has_employer",4,2936,11744
"has_place_of_death, has_gender, has_occupation, has_employer, has_date_of_death, has_date_of_birth",6,1956,11736
"has_place_of_birth, has_gender, has_educated_at, has_field_of_work, has_occupation, has_date_of_death, has_date_of_birth",7,1676,11732
"has_place_of_birth, has_educated_at, has_employer, has_date_of_birth",4,2932,11728
"has_gender, has_educated_at, has_native_language, has_occupation",4,2927,11708
"has_gender, has_educated_at, has_native_language, has_date_of_birth",4,2920,11680
"has_educated_at, has_native_language, has_occupation, has_date_of_birth",4,2920,11680
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_field_of_work, has_occupation, has_date_of_death, has_date_of_birth",8,1459,11672
"has_place_of_death, has_gender, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,1667,11669
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_death",7,1665,11655
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_death, has_date_of_birth",7,1665,11655
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_employer, has_date_of_death, has_date_of_birth",7,1665,11655
"has_place_of_death, has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,1661,11627
"has_place_of_birth, has_place_of_death, has_gender, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,1657,11599
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_award_received, has_date_of_birth",7,1650,11550
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_award_received, has_date_of_death",7,1649,11543
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_award_received, has_date_of_death, has_date_of_birth",7,1649,11543
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,1649,11543
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_birth",7,1644,11508
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_award_received, has_date_of_death, has_date_of_birth",7,1643,11501
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death",7,1643,11501
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,1643,11501
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_employer",4,2871,11484
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_field_of_work, has_date_of_death, has_date_of_birth",8,1431,11448
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_employer, has_date_of_death",6,1908,11448
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_employer, has_date_of_birth",6,1908,11448
"has_place_of_birth, has_place_of_death, has_gender, has_employer, has_date_of_death, has_date_of_birth",6,1908,11448
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_field_of_work, has_occupation, has_date_of_death",8,1431,11448
"has_place_of_birth, has_place_of_death, has_occupation, has_employer, has_date_of_death, has_date_of_birth",6,1908,11448
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_field_of_work, has_occupation, has_date_of_birth",8,1431,11448
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_field_of_work, has_occupation, has_date_of_death, has_date_of_birth",8,1431,11448
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_birth",7,1634,11438
"has_place_of_death, has_country_of_citizenship, has_occupation, has_employer, has_date_of_death, has_date_of_birth",6,1906,11436
"has_place_of_death, has_gender, has_country_of_citizenship, has_employer, has_date_of_death, has_date_of_birth",6,1906,11436
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_employer, has_date_of_birth",6,1906,11436
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_employer, has_date_of_death",6,1906,11436
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_educated_at, has_date_of_death, has_date_of_birth",7,1633,11431
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_death",7,1633,11431
"has_place_of_birth, has_place_of_death, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,1633,11431
"has_place_of_death, has_gender, has_country_of_citizenship, has_field_of_work, has_occupation",5,2281,11405
"has_place_of_death, has_country_of_citizenship, has_field_of_work, has_occupation, has_date_of_death",5,2281,11405
"has_place_of_death, has_gender, has_country_of_citizenship, has_field_of_work, has_date_of_death",5,2281,11405
"has_place_of_death, has_country_of_citizenship, has_field_of_work, has_date_of_death, has_date_of_birth",5,2280,11400
"has_place_of_death, has_gender, has_country_of_citizenship, has_field_of_work, has_date_of_birth",5,2280,11400
"has_place_of_death, has_country_of_citizenship, has_field_of_work, has_occupation, has_date_of_birth",5,2280,11400
"has_gender, has_educated_at, has_occupation, has_date_of_birth, has_academic_degree",5,2279,11395
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_award_received, has_date_of_birth",7,1627,11389
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_birth",7,1627,11389
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received",7,1627,11389
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_award_received, has_date_of_death",7,1626,11382
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death",7,1626,11382
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_award_received, has_date_of_death, has_date_of_birth",7,1626,11382
"has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,1623,11361
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",9,1262,11358
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",7,1621,11347
"has_place_of_birth, has_educated_at, has_native_language, has_occupation",4,2836,11344
"has_place_of_birth, has_gender, has_educated_at, has_native_language",4,2836,11344
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death, has_date_of_birth",7,1620,11340
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",9,1260,11340
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death",7,1620,11340
"has_place_of_death, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,1620,11340
"has_place_of_birth, has_educated_at, has_native_language, has_date_of_birth",4,2833,11332
"has_place_of_death, has_gender, has_educated_at, has_occupation, has_employer, has_date_of_death, has_date_of_birth",7,1618,11326
"has_country_of_citizenship, has_educated_at, has_native_language, has_occupation",4,2829,11316
"has_gender, has_country_of_citizenship, has_educated_at, has_native_language",4,2829,11316
"has_country_of_citizenship, has_educated_at, has_native_language, has_date_of_birth",4,2822,11288
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_birth",5,2253,11265
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death",5,2252,11260
"has_place_of_death, has_gender, has_position_held, has_date_of_death, has_date_of_birth",5,2251,11255
"has_place_of_death, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,2251,11255
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_death",9,1246,11214
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",9,1246,11214
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_award_received, has_date_of_death, has_date_of_birth",9,1246,11214
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_birth",9,1246,11214
"has_gender, has_country_of_citizenship, has_educated_at, has_field_of_work, has_occupation, has_date_of_death, has_date_of_birth",7,1600,11200
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",7,1598,11186
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",7,1598,11186
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",7,1598,11186
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_academic_degree",5,2237,11185
"has_place_of_birth, has_gender, has_educated_at, has_date_of_birth, has_academic_degree",5,2237,11185
"has_place_of_birth, has_educated_at, has_occupation, has_date_of_birth, has_academic_degree",5,2237,11185
"has_gender, has_educated_at, has_occupation, has_employer, has_award_received, has_date_of_birth",6,1864,11184
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death",7,1597,11179
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death",7,1597,11179
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death, has_date_of_birth",7,1597,11179
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_employer, has_date_of_death, has_date_of_birth",6,1861,11166
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_employer, has_date_of_death",6,1861,11166
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_employer, has_date_of_birth",6,1861,11166
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_employer",6,1861,11166
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_employer, has_date_of_birth",6,1861,11166
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_employer, has_date_of_death",6,1861,11166
"has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,1859,11154
"has_gender, has_educated_at, has_field_of_work, has_occupation",4,2787,11148
"has_gender, has_educated_at, has_field_of_work, has_date_of_birth",4,2783,11132
"has_educated_at, has_field_of_work, has_occupation, has_date_of_birth",4,2783,11132
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_academic_degree",5,2223,11115
"has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth, has_academic_degree",5,2222,11110
"has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth, has_academic_degree",5,2222,11110
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_employer, has_date_of_death",7,1585,11095
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_employer, has_date_of_birth",7,1585,11095
"has_place_of_birth, has_place_of_death, has_educated_at, has_occupation, has_employer, has_date_of_death, has_date_of_birth",7,1585,11095
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_employer, has_date_of_death, has_date_of_birth",7,1585,11095
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation",5,2214,11070
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_birth",5,2214,11070
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_birth",5,2214,11070
"has_place_of_death, has_gender, has_educated_at, has_field_of_work, has_occupation, has_date_of_death, has_date_of_birth",7,1581,11067
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_death",5,2212,11060
"has_place_of_birth, has_place_of_death, has_position_held, has_date_of_death, has_date_of_birth",5,2212,11060
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_death",5,2212,11060
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",7,1578,11046
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_award_received",6,1841,11046
"has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_award_received, has_date_of_birth",6,1840,11040
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_field_of_work",5,2208,11040
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_field_of_work, has_occupation",5,2208,11040
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_field_of_work, has_date_of_death",5,2208,11040
"has_gender, has_country_of_citizenship, has_educated_at, has_employer, has_award_received, has_date_of_birth",6,1840,11040
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_field_of_work, has_date_of_birth",5,2207,11035
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",7,1576,11032
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,1576,11032
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",7,1576,11032
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_death",7,1576,11032
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_employer, has_date_of_death, has_date_of_birth",7,1576,11032
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_death, has_date_of_birth",7,1576,11032
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_birth",7,1576,11032
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth, has_academic_degree",7,1575,11025
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_field_of_work, has_occupation, has_award_received, has_date_of_birth",8,1378,11024
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_native_language",4,2752,11008
"has_place_of_birth, has_gender, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,1833,10998
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,2195,10975
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,2195,10975
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,2195,10975
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,2193,10965
"has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,2193,10965
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",5,2193,10965
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_date_of_birth, has_academic_degree",5,2185,10925
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_academic_degree",5,2185,10925
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_academic_degree",5,2185,10925
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_employer, has_award_received, has_date_of_death, has_date_of_birth",9,1213,10917
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_native_language, has_occupation, has_award_received, has_date_of_birth",8,1364,10912
"has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,1818,10908
"has_gender, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth",5,2181,10905
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_employer, has_award_received",6,1811,10866
"has_place_of_birth, has_educated_at, has_occupation, has_employer, has_award_received, has_date_of_birth",6,1810,10860
"has_place_of_birth, has_gender, has_educated_at, has_employer, has_award_received, has_date_of_birth",6,1810,10860
"has_gender, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,1809,10854
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_field_of_work, has_occupation, has_date_of_death",7,1546,10822
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_field_of_work, has_date_of_death, has_date_of_birth",7,1546,10822
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_field_of_work, has_occupation, has_date_of_death, has_date_of_birth",7,1546,10822
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_birth",7,1545,10815
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_employer",7,1545,10815
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_date_of_death",7,1545,10815
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_employer, has_date_of_birth",7,1545,10815
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_employer, has_date_of_death",7,1545,10815
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_employer, has_date_of_death, has_date_of_birth",7,1545,10815
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_birth",5,2162,10810
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held",5,2162,10810
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation",5,2162,10810
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_field_of_work, has_occupation, has_date_of_death",7,1544,10808
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_field_of_work, has_date_of_death, has_date_of_birth",7,1544,10808
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_field_of_work, has_occupation, has_date_of_birth",7,1544,10808
"has_place_of_birth, has_place_of_death, has_educated_at, has_field_of_work, has_occupation, has_date_of_death, has_date_of_birth",7,1544,10808
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death",5,2160,10800
"has_gender, has_occupation, has_employer, has_date_of_death, has_date_of_birth",5,2160,10800
"has_gender, has_occupation, has_employer, has_award_received, has_date_of_birth",5,2160,10800
"has_place_of_birth, has_gender, has_field_of_work, has_occupation, has_award_received, has_date_of_birth",6,1799,10794
"has_place_of_birth, has_gender, has_spouse, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",7,1541,10787
"has_gender, has_position_held, has_educated_at, has_award_received",4,2690,10760
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,1345,10760
"has_position_held, has_educated_at, has_occupation, has_award_received",4,2690,10760
"has_position_held, has_educated_at, has_award_received, has_date_of_birth",4,2689,10756
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,1343,10744
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_employer, has_award_received",6,1790,10740
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_employer, has_award_received",6,1790,10740
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_employer, has_award_received, has_date_of_birth",6,1789,10734
"has_place_of_birth, has_gender, has_educated_at, has_field_of_work",4,2683,10732
"has_place_of_birth, has_educated_at, has_field_of_work, has_occupation",4,2683,10732
"has_place_of_birth, has_educated_at, has_field_of_work, has_date_of_birth",4,2682,10728
"has_place_of_birth, has_gender, has_field_of_work, has_date_of_death",4,2677,10708
"has_place_of_birth, has_field_of_work, has_occupation, has_date_of_death",4,2677,10708
"has_place_of_birth, has_field_of_work, has_date_of_death, has_date_of_birth",4,2675,10700
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death",6,1781,10686
"has_gender, has_country_of_citizenship, has_position_held, has_award_received, has_date_of_death, has_date_of_birth",6,1780,10680
"has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,1780,10680
