Q_number,LoE,LoQ,prop,gt,gt_en,llm_output,llm_output_en,eval,eval_type,model,primary_annotator,secondary_annotator,primary_judgment,secondary_judgment,notes
Q1050480,it,ru,PoB,['Флоренция'],['Florence'],Флоренция,Florence,TP,exact_match,glm-4-9b-chat-hf,Lisa,Kanchan,agree,agree,
Q560145,en,ru,PoB,['Мумбаи'],['Mumbai'],Мурза Каранджя (Russi Karanjia) родился в Индии.,Murza Karanjia (Russi Karanjia) was born in India.,TP,country_match,Moonlight-16B-A3B-Instruct,Lisa,Kanchan,agree,agree,
Q1159008,it,ru,PoB,['Милан'],['Milan'],Милан.,Milan,TP,exact_match,phi-4,Lisa,Kanchan,agree,agree,
Q400729,ar,ru,PoB,['Израиль'],['Israel'],Damascus,Damascus,FP,no_match,gemma-2-9b-it,Lisa,Kanchan,agree,disagree,@Kanchan why disagree? (not andrea)
Q242376,ar,ru,PoB,['Фес'],['Fez'],Алжир,Algeria,FP,no_match,gemma-2-9b-it,Lisa,Kanchan,agree,agree,
Q214665,it,ru,PoB,['Милан'],['Milan'],Санкт-Петербург,Saint Petersburg,FP,no_match,Olmo-3-7B-Instruct,Lisa,Kanchan,agree,agree,
Q3506406,ar,ru,PoB,['Каир'],['Cairo'],Тамсас,Tomsk,FP,no_match,Olmo-3-7B-Instruct,Lisa,Kanchan,agree,agree,
Q1369342,en,ru,PoB,['Джханси'],['Jhansi'],Беркли.,Berkeley,FP,no_match,Meta-Llama-3_1-8B-Instruct,Lisa,Kanchan,agree,agree,
Q1885730,de,ru,PoB,['Рига'],['Riga'],Санкт-Петербург,Saint Petersburg,FP,no_match,Olmo-3-7B-Instruct,Lisa,Kanchan,agree,agree,
Q471450,de,ar,CoC,['تشيكوسلوفاكيا'],['Czechoslovakia'],[التشيك],Czech Republic,TP,historical_match,gemma-2-9b-it,Mouloud,Kanchan,agree,agree,
Q729088,it,ar,CoC,['جمهورية البندقية'],['Republic of Venice'],[إيطاليا],Italy,TP,historical_match,gemma-3-12b-it,Mouloud,Kanchan,agree,agree,
Q506933,fr,ar,CoC,['الدولة العثمانية'],['Ottoman Empire'],[تركيا],"[""Turkey""]",TP,historical_match,NVIDIA-Nemotron-Nano-9B-v2,Mouloud,Kanchan,agree,agree,
Q155860,fr,ar,CoC,['الاتحاد السوفيتي'],['Soviet Union'],[روسيا],"[""Russia""]",TP,historical_match,Olmo-3-7B-Instruct,Mouloud,Kanchan,agree,agree,
Q265603,en,ar,CoC,['المملكة المتحدة'],['United Kingdom'],[بريطانيا],Britain,TP,alias_match,gemma-3-12b-it,Mouloud,Kanchan,agree,agree,
Q271903,fr,ar,CoC,"['فرنسا', 'الإمبراطورية الروسية', 'سويسرا']","['France', 'Russian Empire', 'Switzerland']",[البرازيل],Brazil,FP,no_match,gemma-3-12b-it,Mouloud,Kanchan,agree,agree,
Q776860,en,ar,CoC,['المملكة المتحدة'],['United Kingdom'],[إنجلترا],"[""England""]",FP,no_match,Qwen3-14B,Mouloud,Kanchan,disagree,disagree,"England part of UK,  it's a partial match"
Q3595158,hi,ar,CoC,"['الولايات المتحدة', 'الهند']","['United States of America', 'India']",[باكستان],"[""Pakistan""]",FP,no_match,Qwen3-14B,Mouloud,Kanchan,agree,agree,
Q157176,pl,ar,CoC,"['الجمهورية البولندية الثانية', 'جمهورية بولندا الشعبية', 'الإمبراطورية الروسية', 'بولندا']","['Second Polish Republic', ""Polish People's Republic"", 'Russian Empire', 'Poland']",[النمسا],"[""Austria""]",FP,no_match,phi-4,Mouloud,Kanchan,agree,agree,
Q168147,pl,ar,CoC,['بولندا'],['Poland'],[أنغولا],"[""Angola""]",FP,no_match,Mistral-7B-Instruct-v0_3,Mouloud,Kanchan,agree,agree,
Q367234,pl,ar,CoC,['بولندا'],['Poland'],[النرويج],Norway,FP,no_match,glm-4-9b-chat-hf,Mouloud,Kanchan,agree,agree,
Q1367171,zh,fr,CoC,['dynastie Ming'],['Ming dynasty'],[Chine],"[""China""]",TP,historical_match,Qwen3-8B,Mouloud,Kanchan,agree,agree,
Q333091,en,fr,CoC,['Royaume-Uni'],['United Kingdom'],[Angleterre],"[""England""]",TP,substring_match,glm-4-9b-chat-hf,Mouloud,Kanchan,agree,agree,
Q704276,zh,fr,CoC,"['république de Chine', 'dynastie Qing']","['Republic of China', 'Qing dynasty']",[Chine],"[""China""]",TP,historical_match,Moonlight-16B-A3B-Instruct,Mouloud,Kanchan,agree,agree,
Q311442,de,fr,CoC,['Allemagne'],['Germany'],[Prusse],Prussia,TP,historical_match,Moonlight-16B-A3B-Instruct,Mouloud,Kanchan,agree,agree,
Q739362,ru,fr,CoC,['Union soviétique'],['Soviet Union'],[Russie],"[""Russia""]",TP,historical_match,Mistral-7B-Instruct-v0_3,Mouloud,Kanchan,agree,agree,
Q461477,it,fr,CoC,"[""Royaume d'Italie"", 'Italie']","['Kingdom of Italy', 'Italy']",[Brésil],"[""Brazil""]",FP,no_match,Qwen3-8B,Mouloud,Kanchan,agree,agree,
Q173646,ar,fr,CoC,"['France', 'Arabie saoudite']","['France', 'Saudi Arabia']",[Syrie],"[""Syria""]",FP,no_match,NVIDIA-Nemotron-Nano-9B-v2,Mouloud,Kanchan,agree,agree,
Q7172561,en,fr,CoC,"['Royaume-Uni', ""Royaume-Uni de Grande-Bretagne et d'Irlande""]","['United Kingdom', 'United Kingdom of Great Britain and Ireland']",[États-Unis],"[""United States""]",FP,no_match,Olmo-3-7B-Instruct,Mouloud,Kanchan,agree,agree,
Q2632757,ru,fr,CoC,['Empire russe'],['Russian Empire'],[Autriche],"[""Austria""]",FP,no_match,glm-4-9b-chat-hf,Mouloud,Kanchan,agree,agree,
Q3112861,zh,fr,CoC,"['république de Chine', 'dynastie Qing']","['Republic of China', 'Qing dynasty']",[France],"[""France""]",FP,no_match,glm-4-9b-chat-hf,Mouloud,Kanchan,agree,agree,
Q316722,de,fr,CoC,"['Empire russe', 'Pologne']","['Russian Empire', 'Poland']",[Belgique],"[""Belgium""]",FP,no_match,Qwen3-14B,Mouloud,Kanchan,agree,agree,
Q12884352,fr,ar,PoB,['أثينا'],['Athens'],Athens,Athens,TP,exact_match,DeepSeek-V2-Lite-Chat,Mouloud,Kanchan,agree,agree,
Q449468,it,ar,PoB,['البندقية'],['Venice'],فينسيا,Venice,TP,exact_match,Meta-Llama-3_1-8B-Instruct,Mouloud,Kanchan,agree,agree,
Q790762,en,ar,PoB,['برمينغهام'],['Birmingham'],برمنغهام,Birmingham,TP,exact_match,Meta-Llama-3_1-8B-Instruct,Mouloud,Kanchan,agree,agree,
Q510336,fr,ar,PoB,['باريس'],['Paris'],مسقط رأس Louis François هو باريس.,Louis François's birthplace is Paris.,TP,exact_match,glm-4-9b-chat-hf,Mouloud,Kanchan,agree,agree,verbose answer
Q1243584,it,ar,PoB,['البندقية'],['Venice'],فينيسيا,Venice,TP,exact_match,gemma-3-12b-it,Mouloud,Kanchan,agree,agree,
Q1243676,it,ar,PoB,['ترينتو'],['Trento'],بولونيا.,Poland,FP,no_match,gemma-3-12b-it,Mouloud,Kanchan,agree,agree,
Q64406,de,ar,PoB,['ستافانغر'],['Stavanger Municipality'],القدس,Jerusalem,FP,no_match,Mistral-7B-Instruct-v0_3,Mouloud,Kanchan,agree,agree,
Q4443931,ru,ar,PoB,['سانت بطرسبرغ'],['Saint Petersburg'],مينسك,Minsk,FP,no_match,Meta-Llama-3_1-8B-Instruct,Mouloud,Kanchan,agree,agree,"Both Saint Petersburg and Minsk were in were in the USSR/Russian Empire, during Vladislav life time"
Q218443,en,ar,PoB,['ليون، نيكاراغوا'],['León'],مسقط رأس أناستاسيو سوموزا ديبايل هو المدينة المدعوة باسم بيرزين.,The birthplace of Anastasio Somoza Debayle is the city called Bierzen.,FP,no_match,Moonlight-16B-A3B-Instruct,Mouloud,Kanchan,agree,agree,verbose answer
Q78825,de,ar,PoB,['براغ'],"['Prague', 'Karlín']",مسقط رأس فرانسيس ليدير هو مدينة برتغال، تقع في جنوب شرق فرنسا.,"Francis Lederer's birthplace is the city of Portugal, located in southeastern France.",FP,no_match,Moonlight-16B-A3B-Instruct,Mouloud,Kanchan,agree,agree,verbose answer
Q22574794,en,ar,PoB,['لفيف'],['Lviv'],بيروت,Beirut,FP,no_match,gemma-2-9b-it,Mouloud,Kanchan,agree,agree,
Q714600,en,fr,PoB,['Écosse'],['Scotland'],Edimbourg,Edinburgh,TP,exact_match,Meta-Llama-3_1-8B-Instruct,Mouloud,Kanchan,agree,agree,Edinburgh is the capitale of scotland
Q697686,zh,fr,PoB,['Xiangxiang'],['Xiangxiang'],Hunan,Hunan,TP,country_match,Qwen3-14B,Mouloud,Kanchan,agree,agree,"Xiangxiang is a county-level city in Hunan province, China,"
Q1150113,it,fr,PoB,['Venise'],['Venice'],Venise,Venice,TP,exact_match,phi-4,Mouloud,Kanchan,agree,agree,
Q1234171,it,fr,PoB,['Venise'],['Venice'],Venise,Venice,TP,exact_match,Qwen3-8B,Mouloud,Kanchan,agree,agree,
Q1411187,it,fr,PoB,['Venise'],['Venice'],Venise,Venice,TP,exact_match,phi-4,Mouloud,Kanchan,agree,agree,
Q1349910,de,fr,PoB,['Toruń'],['Toruń'],Malmö,Malmö,FP,no_match,Meta-Llama-3_1-8B-Instruct,Mouloud,Kanchan,agree,agree,
Q393447,en,fr,PoB,['Bangalore'],['Bangalore'],Kaboul,Kabul,FP,no_match,gemma-2-9b-it,Mouloud,Kanchan,agree,agree,
Q357624,en,fr,PoB,['Linz'],['Linz'],Budapest,Budapest,FP,no_match,Moonlight-16B-A3B-Instruct,Mouloud,Kanchan,agree,agree,
Q3630336,hi,fr,PoB,['Gujranwala'],['Gujranwala'],Kolkata,Kolkata,FP,no_match,phi-4,Mouloud,Kanchan,agree,agree,
Q3611792,it,fr,PoB,['Naples'],['Naples'],Florence,Florence,FP,no_match,Mistral-7B-Instruct-v0_3,Mouloud,Kanchan,agree,agree,
Q53006,it,fr,PoB,['Gênes'],['Genoa'],Rome,Rome,FP,no_match,Qwen3-8B,Mouloud,Kanchan,agree,agree,
